# Ambiente de execução
# Linux cibsnotebook 7.2.6-arch2-1 #1 SMP PREEMPT_DYNAMIC Mon, 14 Sep 2026 22:41:30 +0000 x86_64 GNU/Linux
# Compilador: gcc (GCC) 16.2.1 20260810
# CPU: Intel(R) Core(TM) 7 240H
# CPUs lógicas: 16
# Governador: performance
# Repetições por config: 5

bloco,politica,chunk,threads,largura,altura,max_iter,rep,tempo_calculo,fator_balanceamento
strong,guided,1,4,4096,4096,1000,1,2.456541,1.6908
strong,guided,1,4,4096,4096,1000,2,2.460855,1.6927
strong,guided,1,4,4096,4096,1000,3,2.459219,1.6912
strong,guided,1,4,4096,4096,1000,4,2.454448,1.6892
strong,guided,1,4,4096,4096,1000,5,2.458976,1.6917
strong,guided,32,4,4096,4096,1000,1,2.455496,1.6897
strong,guided,32,4,4096,4096,1000,2,2.459267,1.6917
strong,guided,32,4,4096,4096,1000,3,2.457871,1.6899
strong,guided,32,4,4096,4096,1000,4,2.458659,1.6911
strong,guided,32,4,4096,4096,1000,5,2.456143,1.6905
strong,static,NA,8,4096,4096,1000,1,1.947396,2.6689
strong,static,NA,8,4096,4096,1000,2,1.944082,2.6677
strong,static,NA,8,4096,4096,1000,3,1.942542,2.6684
strong,static,NA,8,4096,4096,1000,4,1.941269,2.6649
strong,static,NA,8,4096,4096,1000,5,1.948005,2.6678
strong,static,1,8,4096,4096,1000,1,0.918901,1.1429
strong,static,1,8,4096,4096,1000,2,0.917669,1.1534
strong,static,1,8,4096,4096,1000,3,0.912079,1.1487
strong,static,1,8,4096,4096,1000,4,0.911642,1.1489
strong,static,1,8,4096,4096,1000,5,0.910820,1.1473
strong,static,16,8,4096,4096,1000,1,0.916703,1.1566
strong,static,16,8,4096,4096,1000,2,0.925332,1.1648
strong,static,16,8,4096,4096,1000,3,0.928018,1.1675
strong,static,16,8,4096,4096,1000,4,0.906062,1.1380
strong,static,16,8,4096,4096,1000,5,0.919896,1.1599
strong,dynamic,1,8,4096,4096,1000,1,0.805630,1.0001
strong,dynamic,1,8,4096,4096,1000,2,0.802432,1.0000
strong,dynamic,1,8,4096,4096,1000,3,0.800238,1.0000
strong,dynamic,1,8,4096,4096,1000,4,0.802594,1.0001
strong,dynamic,1,8,4096,4096,1000,5,0.800320,1.0001
strong,dynamic,16,8,4096,4096,1000,1,0.797757,1.0003
strong,dynamic,16,8,4096,4096,1000,2,0.797969,1.0001
strong,dynamic,16,8,4096,4096,1000,3,0.798410,1.0001
strong,dynamic,16,8,4096,4096,1000,4,0.799482,1.0002
strong,dynamic,16,8,4096,4096,1000,5,0.883492,1.0009
strong,guided,1,8,4096,4096,1000,1,1.325539,1.6058
strong,guided,1,8,4096,4096,1000,2,1.304688,1.6264
strong,guided,1,8,4096,4096,1000,3,1.306301,1.6326
strong,guided,1,8,4096,4096,1000,4,1.384211,1.7494
strong,guided,1,8,4096,4096,1000,5,1.297630,1.6499
strong,guided,32,8,4096,4096,1000,1,1.295648,1.6243
strong,guided,32,8,4096,4096,1000,2,1.316546,1.6662
strong,guided,32,8,4096,4096,1000,3,1.290523,1.6049
strong,guided,32,8,4096,4096,1000,4,1.390604,1.7551
strong,guided,32,8,4096,4096,1000,5,1.289726,1.6316
strong,static,NA,16,4096,4096,1000,1,1.192082,2.9255
strong,static,NA,16,4096,4096,1000,2,1.242423,3.0959
strong,static,NA,16,4096,4096,1000,3,1.242544,3.0798
strong,static,NA,16,4096,4096,1000,4,1.194679,2.9659
strong,static,NA,16,4096,4096,1000,5,1.197799,2.9338
strong,static,1,16,4096,4096,1000,1,0.604457,1.2277
strong,static,1,16,4096,4096,1000,2,0.609357,1.1904
strong,static,1,16,4096,4096,1000,3,0.616220,1.2031
strong,static,1,16,4096,4096,1000,4,0.665891,1.2667
strong,static,1,16,4096,4096,1000,5,0.586614,1.1618
strong,static,16,16,4096,4096,1000,1,0.654967,1.2843
strong,static,16,16,4096,4096,1000,2,0.666325,1.3069
strong,static,16,16,4096,4096,1000,3,0.665111,1.2954
strong,static,16,16,4096,4096,1000,4,0.657020,1.2779
strong,static,16,16,4096,4096,1000,5,0.640916,1.2519
strong,dynamic,1,16,4096,4096,1000,1,0.514288,1.0003
strong,dynamic,1,16,4096,4096,1000,2,0.532501,1.0007
strong,dynamic,1,16,4096,4096,1000,3,0.536845,1.0005
strong,dynamic,1,16,4096,4096,1000,4,0.532417,1.0004
strong,dynamic,1,16,4096,4096,1000,5,0.527683,1.0001
strong,dynamic,16,16,4096,4096,1000,1,0.530648,1.0084
strong,dynamic,16,16,4096,4096,1000,2,0.523155,1.0050
strong,dynamic,16,16,4096,4096,1000,3,0.525993,1.0029
strong,dynamic,16,16,4096,4096,1000,4,0.532028,1.0061
strong,dynamic,16,16,4096,4096,1000,5,0.545155,1.0070
strong,guided,1,16,4096,4096,1000,1,0.812881,1.6363
strong,guided,1,16,4096,4096,1000,2,0.749922,1.5768
strong,guided,1,16,4096,4096,1000,3,0.820471,1.7074
strong,guided,1,16,4096,4096,1000,4,0.820259,1.7134
strong,guided,1,16,4096,4096,1000,5,0.864683,1.8263
strong,guided,32,16,4096,4096,1000,1,0.753773,1.5860
strong,guided,32,16,4096,4096,1000,2,0.800396,1.7037
strong,guided,32,16,4096,4096,1000,3,0.754117,1.5636
strong,guided,32,16,4096,4096,1000,4,0.782908,1.5897
strong,guided,32,16,4096,4096,1000,5,0.772114,1.5812
weak,static,16,1,4096,4096,1000,1,5.577724,1.0000
weak,static,16,1,4096,4096,1000,2,5.622264,1.0000
weak,static,16,1,4096,4096,1000,3,5.578684,1.0000
weak,static,16,1,4096,4096,1000,4,5.579965,1.0000
weak,static,16,1,4096,4096,1000,5,5.567891,1.0000
weak,static,16,2,5793,5793,1000,1,5.603815,1.0001
weak,static,16,2,5793,5793,1000,2,5.898915,1.0263
weak,static,16,2,5793,5793,1000,3,5.897112,1.0259
weak,static,16,2,5793,5793,1000,4,5.704204,1.0091
weak,static,16,2,5793,5793,1000,5,5.682855,1.0067
weak,static,16,4,8192,8192,1000,1,6.074684,1.0204
weak,static,16,4,8192,8192,1000,2,5.927633,1.0030
weak,static,16,4,8192,8192,1000,3,5.998245,1.0092
weak,static,16,4,8192,8192,1000,4,5.937878,1.0028
weak,static,16,4,8192,8192,1000,5,5.939820,1.0040
weak,static,16,8,11585,11585,1000,1,7.341093,1.1472
weak,static,16,8,11585,11585,1000,2,7.541906,1.1616
weak,static,16,8,11585,11585,1000,3,8.106332,1.1483
weak,static,16,8,11585,11585,1000,4,8.099953,1.1571
weak,static,16,8,11585,11585,1000,5,8.067779,1.1516
weak,static,16,16,16384,16384,1000,1,9.122210,1.1099
weak,static,16,16,16384,16384,1000,2,9.427966,1.1404
weak,static,16,16,16384,16384,1000,3,9.427078,1.1415
weak,static,16,16,16384,16384,1000,4,9.432478,1.1436
weak,static,16,16,16384,16384,1000,5,9.488952,1.1523
zoom,static,NA,4,4096,4096,5000,1,0.840515,1.2053
zoom,static,NA,4,4096,4096,5000,2,0.863797,1.2299
zoom,static,NA,4,4096,4096,5000,3,0.848033,1.2111
zoom,static,NA,4,4096,4096,5000,4,0.841188,1.2010
zoom,static,NA,4,4096,4096,5000,5,0.841015,1.2025
zoom,static,1,4,4096,4096,5000,1,0.712616,1.0132
zoom,static,1,4,4096,4096,5000,2,0.703815,1.0035
zoom,static,1,4,4096,4096,5000,3,0.718238,1.0177
zoom,static,1,4,4096,4096,5000,4,0.720834,1.0131
zoom,static,1,4,4096,4096,5000,5,0.719029,1.0204
zoom,static,16,4,4096,4096,5000,1,0.706831,1.0056
zoom,static,16,4,4096,4096,5000,2,0.707112,1.0066
